x,y,z,mg_ca,std,rstd
-15.5112,17.5616,-0.954377783,0.371050504,0.028786193,0.077580256
-15.53641,17.54533,-0.955250725,0.459417343,0.029772623,0.064805178
-15.56161,17.52906,-0.956123223,0.53144719,0.025843193,0.048627961
-15.58682,17.51279,-0.956996165,0.470745873,0.053025449,0.112641346
-15.61202,17.49653,-0.957868813,0.474365026,0.038910757,0.082027037
-15.63723,17.48026,-0.958741755,0.506040833,0.069338965,0.13702247
-15.66243,17.46399,-0.959614253,0.518866082,0.061425075,0.118383293
-15.68764,17.44772,-0.960487195,0.458902226,0.047962106,0.104514868
-15.71285,17.43145,-0.961360137,0.443116475,0.04807955,0.108503187
-15.73805,17.41518,-0.962232635,0.424002116,0.049935594,0.11777204
-15.76326,17.39891,-0.963105577,0.423447069,0.072330863,0.170814414
-15.78846,17.38264,-0.963978075,0.486616181,0.03768673,0.077446521
-15.81367,17.36638,-0.964851167,0.44065649,0.040861395,0.092728455
-15.83887,17.35011,-0.965723666,0.466891224,0.038211023,0.081841381
-15.86408,17.33384,-0.966596607,0.460972054,0.051523858,0.111772195
-15.88929,17.31757,-0.967469549,0.439923072,0.0348076,0.079122015
-15.91449,17.3013,-0.968342047,0.531065856,0.045313422,0.085325429
-15.9397,17.28503,-0.969214989,0.518378661,0.014833624,0.028615422
-15.9649,17.26876,-0.970087487,0.457655767,0.024684926,0.053937757
-15.99011,17.2525,-0.97096058,0.466869278,0.018013625,0.038583873
-16.01532,17.23623,-0.971833521,0.5026098,0.018434934,0.036678421
-16.04052,17.21996,-0.97270602,0.489907435,0.025816704,0.052697105
-16.06573,17.20369,-0.973578961,0.490255092,0.022151167,0.045182941
-16.09093,17.18742,-0.97445146,0.485821204,0.020094701,0.041362338
-16.11614,17.17115,-0.975324401,0.474496395,0.017722683,0.037350512
-16.14134,17.15488,-0.9761969,0.458658931,0.010136025,0.022099265
-16.16655,17.13861,-0.977069841,0.467689361,0.017913534,0.038302206
-16.19176,17.12235,-0.977942934,0.448978255,0.016216479,0.036118629
-16.21696,17.10608,-0.978815432,0.43481566,0.019526395,0.044907294
-16.24217,17.08981,-0.979688374,0.430906119,0.012552115,0.029129581
-16.26737,17.07354,-0.980560872,0.418379229,0.011508367,0.027507024
-16.29258,17.05727,-0.981433814,0.398199863,0.015905676,0.039943951
-16.31778,17.041,-0.982306312,0.379488858,0.021306265,0.056144639
-16.34299,17.02473,-0.983179254,0.376370403,0.022730428,0.060393771
-16.3682,17.00847,-0.984052346,0.362855821,0.021742243,0.059919786
-16.3934,16.9922,-0.984924844,0.35422631,0.017895494,0.050519946
-16.41861,16.97593,-0.985797786,0.353157921,0.028538791,0.080810283
-16.44381,16.95966,-0.986670284,0.377699311,0.015299629,0.040507432
-16.46902,16.94339,-0.987543226,0.390521319,0.023109057,0.059174892
-16.49422,16.92712,-0.988415724,0.323753237,0.022219645,0.068631423
-16.51943,16.91085,-0.989288666,0.351992698,0.012843513,0.036488009
-16.54464,16.89458,-0.990161608,0.380002627,0.01722295,0.045323238
-16.56984,16.87832,-0.991034257,0.352777331,0.012858152,0.036448351
-16.59505,16.86205,-0.991907198,0.44379876,0.077212018,0.173979795
-16.62025,16.84578,-0.992779697,0.520327546,0.117816289,0.226427161
-16.64546,16.82951,-0.993652638,0.445251426,0.115950878,0.260416635
-16.67066,16.81324,-0.994525137,0.396467232,0.038231952,0.096431555
-16.69587,16.79697,-0.995398078,0.47563487,0.078648932,0.16535569
-16.72108,16.7807,-0.99627102,0.564218049,0.062263954,0.110354416
-16.74628,16.76444,-0.997143669,0.425723732,0.014747803,0.034641722
-16.77149,16.74817,-0.998016611,0.483220336,0.041909748,0.086730099
-16.79669,16.7319,-0.998889109,0.482374229,0.06167651,0.127860293
-16.8219,16.71563,-0.999762051,0.383836195,0.0241863,0.063012035
-16.84711,16.69936,-1.000634992,0.359198795,0.035433313,0.098645411
-16.87231,16.68309,-1.001507491,0.384298725,0.0241921,0.06295129
-16.89752,16.66682,-1.002380432,0.395103273,0.037689628,0.09539184
-16.92272,16.65055,-1.003252931,0.495474169,0.054593358,0.110184065
-16.94793,16.63429,-1.004126023,0.436135067,0.040057751,0.091847122
-16.97313,16.61802,-1.004998521,0.392094939,0.023239467,0.059270001
-16.99834,16.60175,-1.005871463,0.39585393,0.020835231,0.052633634
-17.02355,16.58548,-1.006744405,0.413039948,0.026227462,0.063498608
-17.04875,16.56921,-1.007616903,0.379151283,0.013957383,0.036812175
-17.07396,16.55294,-1.008489845,0.434388816,0.012459272,0.028682304
-17.09916,16.53667,-1.009362343,0.424528063,0.028348285,0.066775997
-17.12437,16.5204,-1.010235285,0.432111593,0.017396,0.04025812
-17.14957,16.50414,-1.011107934,0.427132254,0.015004408,0.035128248
-17.17478,16.48787,-1.011980875,0.450624008,0.022112223,0.049070228
-17.19999,16.4716,-1.012853817,0.503406578,0.029675232,0.058948836
-17.22519,16.45533,-1.013726315,0.508894534,0.034537882,0.067868448
-17.2504,16.43906,-1.014599257,0.459923436,0.021680729,0.047139866
-17.2756,16.42279,-1.015471755,0.490329258,0.022980947,0.046868399
-17.30081,16.40652,-1.016344697,0.55314146,0.027310382,0.049373233
-17.32601,16.39026,-1.017217346,0.531052061,0.028047396,0.052814777
-17.35122,16.37399,-1.018090288,0.596029064,0.087933402,0.147532071
-17.37643,16.35772,-1.018963229,0.512066031,0.033638138,0.065691016
-17.40163,16.34145,-1.019835728,0.496401142,0.055988203,0.112788223
-17.42684,16.32518,-1.020708669,0.47908273,0.021989064,0.045898261
-17.45204,16.30891,-1.021581168,0.518550033,0.039281363,0.075752311
-17.47725,16.29264,-1.022454109,0.436043528,0.018778717,0.043066152
-17.50245,16.27637,-1.023326608,0.45282466,0.016514681,0.036470366
-17.52766,16.26011,-1.0241997,0.585024697,0.04882453,0.083457212
-17.55287,16.24384,-1.025072642,0.492555462,0.082310189,0.167108468
-17.57807,16.22757,-1.02594514,0.45992843,0.026340427,0.057270709
-17.60328,16.2113,-1.026818082,0.442123685,0.03466844,0.078413441
-17.62848,16.19503,-1.02769058,0.510846745,0.021140794,0.041383829
-17.65369,16.17876,-1.028563522,0.520735685,0.023399889,0.044936211
-17.6789,16.16249,-1.029436463,0.507103194,0.026927446,0.053100526
-17.7041,16.14623,-1.030309112,0.479721811,0.013859523,0.028890751
-17.72931,16.12996,-1.031182054,0.477339523,0.026638256,0.05580568
-17.75451,16.11369,-1.032054552,0.553352465,0.028101504,0.050784095
-17.77972,16.09742,-1.032927494,0.511749113,0.09088782,0.1776023
-17.80492,16.08115,-1.033799992,0.469195426,0.035933239,0.076584803
-17.83013,16.06488,-1.034672934,0.562169556,0.053021953,0.094316657
-17.85534,16.04861,-1.035545876,0.387966454,0.025416866,0.065513052
-17.88054,16.03234,-1.036418374,0.398513293,0.03565514,0.089470392
-17.90575,16.01608,-1.037291466,0.443694967,0.043277224,0.097538234
-17.93095,15.99981,-1.038163964,0.418819823,0.012856205,0.030696266
-17.95616,15.98354,-1.039036906,0.420125545,0.028192337,0.067104553
-17.98136,15.96727,-1.039909404,0.446507207,0.060011361,0.134401774
-18.00657,15.951,-1.040782346,0.484402801,0.052661198,0.108713652
-18.03178,15.93473,-1.041655288,0.458165977,0.024354462,0.053156417
-18.05698,15.91846,-1.042527786,0.396619021,0.03240025,0.081691114
-18.08219,15.9022,-1.043400879,0.343398244,0.02987051,0.08698504
-18.10739,15.88593,-1.044273377,0.395307702,0.058825032,0.148808211
-18.1326,15.86966,-1.045146319,0.358958887,0.0333054,0.092783326
-18.1578,15.85339,-1.046018817,0.394247135,0.022967511,0.058256634
-18.18301,15.83712,-1.046891759,0.450093576,0.047214525,0.104899354
-18.20822,15.82085,-1.0477647,0.384202444,0.022850053,0.059473991
-18.23342,15.80458,-1.048637199,0.305012164,0.034114365,0.111845918
-18.25863,15.78831,-1.04951014,0.46535096,0.054358968,0.116812842
-18.28383,15.77205,-1.050382789,0.426959222,0.064757475,0.151671335
-18.30904,15.75578,-1.051255731,0.423927826,0.017470511,0.041211051
-18.33425,15.73951,-1.052128673,0.479903639,0.02830542,0.058981466
-18.35945,15.72324,-1.053001171,0.479458261,0.034022533,0.070960365
-18.38466,15.70697,-1.053874113,0.478610714,0.024296527,0.050764696
-18.40986,15.6907,-1.054746611,0.473682078,0.030762539,0.06494343
-18.43507,15.67443,-1.055619553,0.475720327,0.016000043,0.033633297
-18.46027,15.65817,-1.056492201,0.516572244,0.110639803,0.214180697
-18.48548,15.6419,-1.057365143,0.451564647,0.014446282,0.031991614
-18.51069,15.62563,-1.058238085,0.466762264,0.018851374,0.040387527
-18.53589,15.60936,-1.059110583,0.478783812,0.016838169,0.035168626
-18.5611,15.59309,-1.059983525,0.616912929,0.119910181,0.19437132
-18.5863,15.57682,-1.060856023,0.770571968,0.108157901,0.140360544
-18.61151,15.56055,-1.061728965,0.616102357,0.15055533,0.244367398
-18.63671,15.54428,-1.062601463,0.552791111,0.068725622,0.124324759
-18.66192,15.52802,-1.063474555,0.445986021,0.034751709,0.077921072
-18.68713,15.51175,-1.064347497,0.417341579,0.041824157,0.100215649
-18.71233,15.49548,-1.065219995,0.432791648,0.036219815,0.083688802
-18.73754,15.47921,-1.066092937,0.417061573,0.029466798,0.070653351
-18.76274,15.46294,-1.066965435,0.381899718,0.030632442,0.080210697
-18.78795,15.44667,-1.067838377,0.427061093,0.016543649,0.038738367
-18.81315,15.4304,-1.068710875,0.41689582,0.028734328,0.06892448
-18.83836,15.41414,-1.069583968,0.412628476,0.024547603,0.059490811
-18.86357,15.39787,-1.070456909,0.380526077,0.019095953,0.050183033
-18.88877,15.3816,-1.071329408,0.337224207,0.014794095,0.043870206
-18.91398,15.36533,-1.072202349,0.33932403,0.014127542,0.041634369
-18.93918,15.34906,-1.073074848,0.421044495,0.009160543,0.02175671
-18.96439,15.33279,-1.073947789,0.365469386,0.013542737,0.037055734
-18.98959,15.31652,-1.074820288,0.35614787,0.009373524,0.026319192
-19.0148,15.30025,-1.075693229,0.357065658,0.015002767,0.042016829
-19.04001,15.28399,-1.076566322,0.308986162,0.018156481,0.058761469
-19.06521,15.26772,-1.07743882,0.30403004,0.013268273,0.043641322
-19.09042,15.25145,-1.078311762,0.305543072,0.045555335,0.149096277
-19.11562,15.23518,-1.07918426,0.234633256,0.011160326,0.047564979
-19.14083,15.21891,-1.080057202,0.306864089,0.055999769,0.182490461
-19.16604,15.20264,-1.080930143,0.36480272,0.125501668,0.344026131
-19.19124,15.18637,-1.081802642,0.26754121,0.082845759,0.309656068
-19.21645,15.17011,-1.082675734,0.29530325,0.044204344,0.149691357
-19.24165,15.15384,-1.083548232,0.287910773,0.04454316,0.154711681
-19.26686,15.13757,-1.084421174,0.302373611,0.038105563,0.126021456
-19.29206,15.1213,-1.085293672,0.271008123,0.052931595,0.195313684
-19.31727,15.10503,-1.086166614,0.297709678,0.015785987,0.053024768
-19.34248,15.08876,-1.087039556,0.267188484,0.031458406,0.117738629
-19.36768,15.07249,-1.087912054,0.250382173,0.007960906,0.031795019
-19.39289,15.05622,-1.088784996,0.303332879,0.014607261,0.048155877
-19.41809,15.03996,-1.089657645,0.305834231,0.014674428,0.047981639
-19.4433,15.02369,-1.090530586,0.297180469,0.032886823,0.110662801
-19.4685,15.00742,-1.091403085,0.35111904,0.050835752,0.144782099
-19.49371,14.99115,-1.092276026,0.372883098,0.015203796,0.040773626
-19.51892,14.97488,-1.093148968,0.388156678,0.02642325,0.068073671
-19.54412,14.95861,-1.094021466,0.521224322,0.030090185,0.057729817
-19.56933,14.94234,-1.094894408,0.660815685,0.069934457,0.105830504
-19.59453,14.92608,-1.095767057,0.622713511,0.085581638,0.137433404
-19.61974,14.90981,-1.096639999,0.524416896,0.030217734,0.057621587
-19.64494,14.89354,-1.097512497,0.578412975,0.047483929,0.082093471
-19.67015,14.87727,-1.098385439,0.592107792,0.074795223,0.126320281
-19.69536,14.861,-1.09925838,0.578167809,0.075232254,0.13012183
-19.72056,14.84473,-1.100130879,0.644492868,0.087680162,0.136045201
-19.74577,14.82846,-1.10100382,0.539491284,0.071407255,0.13236035
-19.77097,14.81219,-1.101876319,0.662517896,0.059017308,0.089080322
-19.79618,14.79593,-1.102749411,0.503343984,0.051740367,0.102793256
-19.82138,14.77966,-1.103621909,0.501648282,0.098424451,0.196202109
-19.84659,14.76339,-1.104494851,0.465000006,0.041127429,0.088446084
-19.8718,14.74712,-1.105367793,0.468098409,0.041716274,0.089118597
-19.897,14.73085,-1.106240291,0.450758255,0.036600465,0.081197548
-19.92221,14.71458,-1.107113233,0.468829255,0.027288891,0.05820646
-19.94741,14.69831,-1.107985731,0.49684007,0.051742266,0.104142698
-19.97262,14.68204,-1.108858673,0.448937493,0.022675849,0.050510037
-19.99783,14.66578,-1.109731765,0.431548248,0.014119123,0.032717369
-20.02303,14.64951,-1.110604263,0.410692927,0.026210252,0.063819584
-20.04824,14.63324,-1.111477205,0.473918122,0.026897973,0.056756583
-20.07344,14.61697,-1.112349703,0.426068712,0.032598212,0.076509284
-20.09865,14.6007,-1.113222645,0.407858795,0.024347135,0.059695011
-20.12385,14.58443,-1.114095143,0.395354982,0.017100346,0.043253144
-20.14906,14.56816,-1.114968085,0.393585511,0.01131165,0.028740005
-20.17427,14.5519,-1.115841177,0.369500042,0.014758712,0.039942382
-20.19947,14.53563,-1.116713676,0.34279399,0.021587857,0.062976183
-20.22468,14.51936,-1.117586617,0.38402014,0.021311289,0.055495237
-20.24988,14.50309,-1.118459116,0.379860418,0.01733655,0.045639264
-20.27509,14.48682,-1.119332057,0.358459926,0.013256019,0.036980477
-20.30029,14.47055,-1.120204556,0.305212277,0.023379066,0.076599364
-20.3255,14.45428,-1.121077497,0.326013236,0.015546069,0.047685392
-20.35071,14.43801,-1.121950439,0.308021767,0.023377239,0.075894763
-20.37591,14.42175,-1.122823088,0.305941744,0.018258043,0.059678169
-20.40112,14.40548,-1.12369603,0.318182795,0.017760915,0.055819848
-20.42632,14.38921,-1.124568528,0.32994927,0.02132287,0.064624694
-20.45153,14.37294,-1.12544147,0.32050191,0.014705108,0.045881497
-20.47673,14.35667,-1.126313968,0.309130203,0.021811101,0.070556358
-20.50194,14.3404,-1.12718691,0.321810237,0.007898798,0.024544893
-20.52715,14.32413,-1.128059851,0.325801895,0.010437511,0.032036373
-20.55235,14.30787,-1.1289325,0.314502452,0.008861118,0.028175036
-20.57756,14.2916,-1.129805442,0.318971362,0.019546645,0.061280252
-20.60276,14.27533,-1.13067794,0.351637159,0.037896349,0.107771173
-20.62797,14.25906,-1.131550882,0.351442427,0.011955698,0.034018937
-20.65317,14.24279,-1.13242338,0.333782835,0.039644164,0.118772326
-20.67838,14.22652,-1.133296322,0.328666958,0.023696731,0.072099522
-20.70359,14.21025,-1.134169264,0.27703671,0.027655624,0.099826567
-20.72879,14.19398,-1.135041762,0.42504068,0.043930822,0.103356747
-20.754,14.17772,-1.135914854,0.589637821,0.038339304,0.065021786
-20.7792,14.16145,-1.136787353,0.684417661,0.151950706,0.22201459
-20.80441,14.14518,-1.137660294,0.545605097,0.028461898,0.052165749
-20.82962,14.12891,-1.138533236,0.505425017,0.067729773,0.13400558
-20.85482,14.11264,-1.139405734,0.565396445,0.037377072,0.066107723
-20.88003,14.09637,-1.140278676,0.683239493,0.054190869,0.079314603
-20.90523,14.0801,-1.141151174,0.599350164,0.069974098,0.116749944
-20.93044,14.06384,-1.142024267,0.703768276,0.434633281,0.617580098
-20.95564,14.04757,-1.142896765,0.552770642,0.167437238,0.302905447
-20.98085,14.0313,-1.143769707,0.522664143,0.037618767,0.071975029
-21.00606,14.01503,-1.144642648,0.65104147,0.121190279,0.186148325
-21.03126,13.99876,-1.145515147,0.561514403,0.042545553,0.0757693
-21.05647,13.98249,-1.146388088,0.437904746,0.042085404,0.096106297
-21.08167,13.96622,-1.147260587,0.439512026,0.023917724,0.054418816
-21.10688,13.94995,-1.148133528,0.471267895,0.032273987,0.068483313
-21.13208,13.93369,-1.149006177,0.513819509,0.014312746,0.02785559
-21.15729,13.91742,-1.149879119,0.510621071,0.094262535,0.184603692
-21.1825,13.90115,-1.150752061,0.53092603,0.021209873,0.039948829
-21.2077,13.88488,-1.151624559,0.446430008,0.029391954,0.065837765
-21.23291,13.86861,-1.152497501,0.429020955,0.014317637,0.033372815
-21.25811,13.85234,-1.153369999,0.443552034,0.03110256,0.070121558
-21.28332,13.83607,-1.154242941,0.378260256,0.016152327,0.042701622
-21.30852,13.81981,-1.155115589,0.4241893,0.044113568,0.103995003
-21.33373,13.80354,-1.155988531,0.379967017,0.019212679,0.05056407
-21.35894,13.78727,-1.156861473,0.405139072,0.037658185,0.092951255
-21.38414,13.771,-1.157733971,0.353284963,0.014273147,0.040401231
-21.40935,13.75473,-1.158606913,0.390455805,0.016022119,0.041034397
-21.43455,13.73846,-1.159479411,0.386002694,0.018278804,0.047354085
-21.45976,13.72219,-1.160352353,0.448097102,0.027768945,0.06197082
-21.48496,13.70592,-1.161224851,0.531384296,0.094013836,0.176922497
-21.51017,13.68966,-1.162097943,0.499228546,0.048792604,0.097736005
-21.53538,13.67339,-1.162970885,0.525667225,0.034899701,0.066391243
-21.56058,13.65712,-1.163843383,0.460354865,0.027387417,0.059491969
-21.58579,13.64085,-1.164716325,0.471668664,0.041162065,0.087269026
-21.61099,13.62458,-1.165588823,0.483026665,0.020447067,0.042331135
-21.6362,13.60831,-1.166461765,0.422951563,0.02645304,0.062543899
-21.66141,13.59204,-1.167334707,0.422475221,0.081691249,0.193363408
-21.68661,13.57578,-1.168207356,0.364108264,0.066264559,0.181991363
-21.71182,13.55951,-1.169080297,0.318493952,0.011158363,0.035034773
-21.73702,13.54324,-1.169952796,0.361411892,0.019316807,0.053448179
-21.76223,13.52697,-1.170825737,0.405674135,0.026805591,0.066076658
-21.78743,13.5107,-1.171698236,0.343630353,0.029052539,0.084545906
-21.81264,13.49443,-1.172571177,0.322573956,0.026114628,0.080957025
-21.83785,13.47816,-1.173444119,0.328884177,0.023466023,0.071350418
-21.86305,13.46189,-1.174316617,0.288714105,0.026849637,0.092997317
-21.88826,13.44563,-1.17518971,0.328761982,0.028484131,0.086640587
-21.91346,13.42936,-1.176062208,0.28647097,0.055322899,0.193118692
-21.93867,13.41309,-1.17693515,0.276158663,0.029324248,0.106186231
-21.96387,13.39682,-1.177807648,0.38867731,0.024914466,0.064100644
-21.98908,13.38055,-1.17868059,0.438504492,0.026548148,0.060542478
